Player_name,Club,through_ball
Davy Pröpper,Brighton and Hove Albion,2
Declan Rice,West Ham United,2
Andrew Robertson,Liverpool,2
Danny Rose,Tottenham Hotspur,2
Morgan Schneiderlin,Everton,2
André Schürrle,Fulham,2
,,Stat
Jean Michael Seri,Fulham,2
Luke Shaw,Manchester United,2
Daniel Sturridge,Liverpool,2
Isaac Success,Watford,2
Andrew Surman,AFC Bournemouth,2
Matt Targett,Southampton,2
Fabinho,Liverpool,2
Lucas Torreira,Arsenal,2
Callum Wilson,AFC Bournemouth,2
Andriy Yarmolenko,West Ham United,2
Ashley Young,Manchester United,2
Oleksandr Zinchenko,Manchester City,2
Nathan Aké,AFC Bournemouth,1
Miguel Almirón,Newcastle United,1
Leandro Bacuna,Cardiff City,1
Fabián Balbuena,West Ham United,1
Sol Bamba,Cardiff City,1
Michy Batshuayi,Crystal Palace,1
Ryan Bennett,Wolverhampton Wanderers,1
Johann Gudmundsson,Burnley,1
,,Stat
Ryan Bertrand,Southampton,1
Robbie Brady,Burnley,1
Joe Bryan,Fulham,1
Jonny,Wolverhampton Wanderers,1
Ivan Cavaleiro,Wolverhampton Wanderers,1
Lewis Cook,AFC Bournemouth,1
Charlie Daniels,AFC Bournemouth,1
Tom Davies,Everton,1
Steven Davis,,1
Steven Defour,Burnley,1
Adama Diakhaby,Huddersfield Town,1
Timothy Fosu-Mensah,Fulham,1
Juan Foyth,Tottenham Hotspur,1
Manolo Gabbiadini,,1
Mason Greenwood,Manchester United,1
Andreas Pereira,Manchester United,1
Alireza Jahanbakhsh,Brighton and Hove Albion,1
Daryl Janmaat,Watford,1
Beram Kayal,Brighton and Hove Albion,1
Anthony Knockaert,Brighton and Hove Albion,1
