Player_name,Club,Goal
Junior Stanislas,AFC Bournemouth,2
Daniel Sturridge,Liverpool,2
Lucas Torreira,Arsenal,2
Yan Valery,Southampton,2
Ashley Westwood,Burnley,2
,,Stat
Andriy Yarmolenko,West Ham United,2
Ashley Young,Manchester United,2
Kurt Zouma,Everton,2
Trent Alexander-Arnold,Liverpool,1
Cédric Soares,,1
Bernard,Everton,1
Christian Atsu,Newcastle United,1
Jordan Ayew,Crystal Palace,1
Floyd Ayité,Fulham,1
César Azpilicueta,Chelsea,1
Juninho Bacuna,Huddersfield Town,1
Fabián Balbuena,West Ham United,1
Leon Balogun,Brighton and Hove Albion,1
Harvey Barnes,Leicester City,1
Ryan Bennett,Wolverhampton Wanderers,1
Christian Benteke,Crystal Palace,1
Ryan Bertrand,Southampton,1
Tom Cairney,Fulham,1
Etienne Capoue,Watford,1
Jonny,Wolverhampton Wanderers,1
,,Stat
Tom Cleverley,Watford,1
Steve Cook,AFC Bournemouth,1
Jack Cork,Burnley,1
Danilo,Manchester City,1
Charlie Daniels,AFC Bournemouth,1
Issa Diop,West Ham United,1
Jonny Evans,Leicester City,1
Kiko Femenía,Watford,1
Phil Foden,Manchester City,1
Juan Foyth,Tottenham Hotspur,1
Ryan Fredericks,West Ham United,1
Manolo Gabbiadini,,1
Rachid Ghezzal,Leicester City,1
Ben Gibson,Burnley,1
Aron Gunnarsson,Cardiff City,1
Kadeem Harris,,1
Isaac Hayden,Newcastle United,1
Jordan Henderson,Liverpool,1
Andreas Pereira,Manchester United,1
Jordon Ibe,AFC Bournemouth,1
,,Stat
Kelechi Iheanacho,Leicester City,1
Phil Jagielka,Everton,1
Beram Kayal,Brighton and Hove Albion,1
Michael Keane,Everton,1
Vincent Kompany,Manchester City,1
Terence Kongolo,Huddersfield Town,1
Manuel Lanzini,West Ham United,1
Mario Lemina,Southampton,1
Aaron Lennon,Burnley,1
Victor Lindelöf,Manchester United,1
Fernando Llorente,Tottenham Hotspur,1
Sean Longstaff,Newcastle United,1
Dejan Lovren,Liverpool,1
Fernandinho,Manchester City,1
Ainsley Maitland-Niles,Arsenal,1
Solly March,Brighton and Hove Albion,1
Nemanja Matic,Manchester United,1
Joel Matip,Liverpool,1
Isaac Mbenza,Huddersfield Town,1
Max Meyer,Crystal Palace,1
